64,2.024939
800,2.025202
64,2.125034
800,2.125266
64,2.224997
800,2.225277
64,2.335013
800,2.335269
64,2.465021
800,2.465277
64,2.605037
800,2.605269
64,2.715005
800,2.715237
64,2.814941
800,2.815245
64,2.914940
800,2.915268
64,3.064931
800,3.065283
64,3.174998
800,3.175254
64,3.314957
800,3.315220
64,3.454976
800,3.455280
64,3.594941
800,3.595269
64,3.725021
800,3.725277
64,3.834941
800,3.835245
64,3.974957
800,3.975213
64,4.074947
800,4.075251
64,4.204934
800,4.205262
64,4.315001
800,4.315257
64,4.414949
800,4.415277
64,4.564943
800,4.565271
64,4.714934
800,4.715262
64,4.825001
800,4.825257
64,4.964960
800,4.965199
64,5.084939
800,5.085202
64,5.194946
800,5.195274
64,5.305037
800,5.305269
64,5.444948
800,5.445256
64,5.575031
800,5.575263
64,5.704946
800,5.705274
64,5.824949
800,5.825277
64,5.944949
800,5.945277
64,6.055037
800,6.055269
64,6.184997
800,6.185277
64,6.285005
800,6.285237
64,6.384941
800,6.385245
64,6.484940
800,6.485268
64,6.595031
800,6.595263
64,6.724946
800,6.725274
64,6.865001
800,6.865257
64,6.974948
800,6.975256
64,7.114943
800,7.115271
64,7.214954
800,7.215258
64,7.345037
800,7.345269
64,7.465037
800,7.465269
64,7.615031
800,7.615263
64,7.764998
800,7.765254
64,7.914941
800,7.915245
64,8.054536
800,8.054659
