p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,1000,100,100,10.31,75.18,8.96,5.75
64,1000,100,100,9.9,75.22,8.96,5.75
64,1000,100,100,10.38,75.92,8.96,5.75
64,1000,100,100,10.44,76.14,8.96,5.75
64,1000,100,100,9.9,75.01,8.96,5.75
