p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
2,64,800,100,14.27,49.52,32.0,0.0
2,64,800,100,11.58,178.27,32.0,0.0
2,64,800,100,13.35,175.9,32.0,0.0
2,64,800,100,11.53,179.03,32.0,0.0
2,64,800,100,13.45,176.25,32.0,0.0
