p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,800,200,100,16.0,12.56,16.36,11.29
64,800,200,100,16.0,11.29,16.36,11.29
64,800,200,100,16.0,11.73,16.36,11.29
64,800,200,100,16.0,11.91,16.36,11.29
64,800,200,100,16.0,12.38,16.36,11.29
