p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,800,100,100,15.52,8.71,32.0,0.0
64,800,100,100,15.12,8.77,32.0,0.0
64,800,100,100,15.73,8.97,32.0,0.0
64,800,100,100,15.01,8.69,32.0,0.0
64,800,100,100,14.56,8.72,32.0,0.0
