p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64.0,800.0,100.0,100.0,11.96,10.47,,
64.0,800.0,100.0,100.0,,,,
,,,,11.07,10.41,32.0,0.0
64.0,800.0,100.0,100.0,32.5,34.19,32.0,0.0
64.0,800.0,100.0,100.0,32.5,33.12,32.0,0.0
64.0,800.0,100.0,100.0,,,,
