p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,800,100,100,7.7,2.20,8.96,5.75
64,800,100,100,8.08,5.61,8.96,5.75
64,800,100,100,8.0,5.26,8.96,5.75
64,800,100,100,8.08,5.6,8.96,5.75
64,800,100,100,8.0,5.45,8.96,5.75
