p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,1000,100,100,10.32,10.34,8.96,5.74
64,1000,100,100,10.21,10.23,8.96,5.74
64,1000,100,100,10.43,10.46,8.96,5.74
64,1000,100,100,10.46,10.48,8.96,5.74
64,1000,100,100,10.15,10.17,8.96,5.74
