p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,800,300,100,71.54,184.37,24.0,0.0
64,800,300,100,60.93,186.79,24.0,0.0
64,800,300,100,72.77,178.75,24.0,0.0
64,800,300,100,78.85,177.18,24.0,0.0
64,800,300,100,0.0,0.02,24.0,0.0
