p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,800,100,100,10.37,8.43,32.0,0.0
64,800,100,100,15.28,13.74,32.0,0.0
64,800,100,100,16.37,16.22,32.0,0.0
64,800,100,100,15.44,13.45,32.0,0.0
64,800,100,100,14.7,12.98,32.0,0.0
64,800,100,100,15.374,13.954000000000002,32.0,0.0
