p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,800,100,100,8.0,8.01,8.96,5.74
64,800,100,100,8.13,8.14,8.96,5.74
64,800,100,100,8.0,8.01,8.96,5.74
64,800,100,100,8.11,8.12,8.96,5.74
64,800,100,100,8.0,8.01,8.96,5.74
