p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64,800,300,100,24.38,24.42,26.82,17.61
64,800,300,100,24.2,24.24,26.82,17.61
64,800,300,100,24.0,24.04,26.82,17.61
64,800,300,100,24.09,24.13,26.82,17.61
64,800,300,100,24.22,24.26,26.82,17.61
