p_h,p_t,p_c,L_cap,M_d,M_v,R_d,R_v
64.0,1400.0,100.0,100.0,9.11,9.12,8.96,5.74
64.0,1400.0,100.0,100.0,9.24,9.26,8.96,5.74
64.0,1400.0,100.0,100.0,9.29,9.31,8.96,5.74
64.0,1400.0,100.0,100.0,9.45,9.47,8.96,5.74
64.0,1400.0,100.0,100.0,9.47,9.48,8.96,5.74
,,,,9.47,8.84,,
